"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1988","ACCIDENT",4,0,4,6,0,0,1
"1988","EARTHQUAKE",5,0,190,425,26500,0,6
"1988","ELECTRICSTORM",1,5,1,0,0,500,7
"1988","EPIDEMIC",7,1,0,0,0,14,8
"1988","EXPLOSION",4,0,2,0,0,0,10
"1988","FIRE",53,8,53,386,7707842,15,11
"1988","FLOOD",34,3,268,3534,69630,9,12
"1988","FORESTFIRE",7,2,42,5,13200,29,13
"1988","FROST",2,14,0,0,0,700,14
"1988","LANDSLIDE",34,31,267,847,124550,91,17
"1988","RAIN",1,0,0,0,0,0,22
"1988","STORM",4,0,10,0,0,0,25
"1988","STRONGWIND",12,0,951,550,1987148,0,26
"1988","SURGE",1,0,42,200,1311000,0,28
"1989","ACCIDENT",3,0,2,5,0,0,1
"1989","DROUGHT",1,0,0,0,0,0,5
"1989","ELECTRICSTORM",3,4,0,0,0,133,7
"1989","EPIDEMIC",10,19,0,0,0,190,8
"1989","ERUPTION",1,0,0,0,0,0,9
"1989","EXPLOSION",3,0,1,5,9550,0,10
"1989","FIRE",83,9,110,1041,2938884,11,11
"1989","FLOOD",26,0,2101,59530,158900,0,12
"1989","FORESTFIRE",4,0,0,0,0,0,13
"1989","FROST",3,36,0,0,1853333,1200,14
"1989","LANDSLIDE",29,26,219,12610,1900000,90,17
"1989","RAIN",1,0,0,0,0,0,22
"1989","STORM",1,0,0,0,0,0,25
"1989","STRONGWIND",12,0,146,550,22880,0,26
"1989","STRUCTURE",2,1,1,0,0,50,27
"1990","ACCIDENT",2,30,16,80,0,1500,1
"1990","EPIDEMIC",7,291,0,0,0,4157,8
"1990","ERUPTION",7,4,0,0,0,57,9
"1990","EXPLOSION",3,0,3,5,13200,0,10
"1990","FIRE",48,10,68,242,3992260,21,11
"1990","FLOOD",21,1,0,300000,3382500,5,12
"1990","FORESTFIRE",3,0,0,0,0,0,13
"1990","LANDSLIDE",13,9,43,35,1392600,69,17
"1990","LEAK",1,0,0,10,0,0,18
"1990","RAIN",2,0,0,0,0,0,22
"1990","SPATE",1,0,0,0,0,0,24
"1990","STORM",3,3,100,0,0,100,25
"1990","STRONGWIND",1,0,0,0,0,0,26
"1991","EARTHQUAKE",2,25,2300,10000,99000000,1250,6
"1991","ERUPTION",1,0,0,0,0,0,9
"1991","EXPLOSION",6,24,9,40,49500,400,10
"1991","FIRE",57,8,94,393,7487800,14,11
"1991","FLOOD",3,0,0,0,0,0,12
"1991","FORESTFIRE",4,0,1,5,0,0,13
"1991","FROST",2,0,0,0,0,0,14
"1991","LANDSLIDE",10,8,37,190,0,80,17
"1991","LEAK",2,0,0,0,0,0,18
"1991","RAIN",2,1,0,0,0,50,22
"1991","SPATE",4,4,0,0,0,100,24
"1991","STORM",1,4,0,0,0,400,25
"1992","EPIDEMIC",15,126,0,0,0,840,8
"1992","EXPLOSION",2,0,1,5,0,0,10
"1992","FIRE",61,18,344,1116,3859650,30,11
"1992","FLOOD",15,0,511,5505,213330000,0,12
"1992","FORESTFIRE",2,0,0,0,0,0,13
"1992","LANDSLIDE",11,8,5,20,0,73,17
"1992","RAIN",7,4,2,10,6682500,57,22
"1992","SPATE",3,1,1,5,0,33,24
"1992","STORM",1,0,0,0,0,0,25
"1992","STRONGWIND",2,1,5,25,0,50,26
"1993","EARTHQUAKE",3,4,51,305,0,133,6
"1993","EPIDEMIC",23,109,0,0,0,474,8
"1993","ERUPTION",5,0,0,0,0,0,9
"1993","FIRE",37,11,48,1952,3724050,30,11
"1993","FLOOD",12,0,420,4700,0,0,12
"1993","FORESTFIRE",2,0,0,0,0,0,13
"1993","FROST",10,3,0,0,1090000,30,14
"1993","HAILSTORM",2,0,0,0,165000,0,15
"1993","LANDSLIDE",21,10,4,19,0,48,17
"1993","RAIN",2,0,0,0,0,0,22
"1993","SPATE",8,7,0,480,495000,88,24
"1993","STORM",2,1,0,0,0,50,25
"1993","STRONGWIND",7,1,65,130,0,14,26
"1994","DROUGHT",5,0,0,0,0,0,5
"1994","EARTHQUAKE",4,0,0,0,0,0,6
"1994","EPIDEMIC",16,56,0,0,0,350,8
