"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1966","LANDSLIDE",10,0,248,1768,0,0,20
"1966","ROCKSLIDE",1,0,17,140,0,0,27
"1967","EARTHQUAKE",4,188,19072,0,0,4700,8
"1967","FIRE",1,0,20,0,0,0,11
"1967","FLOOD",2,0,37,288,0,0,12
"1967","LANDSLIDE",6,0,268,2439,0,0,20
"1967","MINING ACCIDENTS",1,17,0,0,0,1700,22
"1967","ROCKSLIDE",8,0,215,1206,0,0,27
"1968","AVALANCHE",1,1,1,0,0,100,3
"1968","EARTHQUAKE",2,31,3765,0,0,1550,8
"1968","FLOOD",2,0,26,157,0,0,12
"1968","FOREST FIRE",4,0,0,0,24693,0,14
"1968","LANDSLIDE",18,0,385,2729,0,0,20
"1968","ROCKSLIDE",6,0,108,596,0,0,27
"1969","EARTHQUAKE",6,42,14322,0,0,700,8
"1969","FIRE",1,0,45,0,0,0,11
"1969","FLOOD",2,0,49,394,0,0,12
"1969","FOREST FIRE",25,0,0,0,472058,0,14
"1969","LANDSLIDE",19,0,450,2766,0,0,20
"1969","ROCKSLIDE",3,0,92,675,0,0,27
"1970","AVALANCHE",1,0,24,217,0,0,3
"1970","EARTHQUAKE",4,1087,27370,0,0,27175,8
"1970","FLOOD",1,0,80,750,0,0,12
"1970","FOREST FIRE",18,0,0,0,36110,0,14
"1970","LANDSLIDE",12,0,221,1319,0,0,20
"1970","ROCKSLIDE",5,0,72,635,0,0,27
"1971","EARTHQUAKE",2,935,19016,0,21043818,46750,8
"1971","FLOOD",1,0,8,53,0,0,12
"1971","FOREST FIRE",11,0,0,0,32278,0,14
"1971","LANDSLIDE",4,0,23,204,0,0,20
"1971","ROCKSLIDE",4,0,38,240,0,0,27
"1972","EARTHQUAKE",3,1,900,800,0,33,8
"1972","FIRE",2,0,60,0,0,0,11
"1972","FLOOD",3,0,75,87,0,0,12
"1972","FOREST FIRE",5,0,0,0,1812078587,0,14
"1972","LANDSLIDE",9,0,67,450,0,0,20
"1972","MINING ACCIDENTS",2,39,0,0,0,1950,22
"1972","ROCKSLIDE",5,0,132,682,0,0,27
"1972","TRAIN ACCIDENT",1,16,0,0,0,1600,35
"1973","FIRE",1,0,15,0,0,0,11
"1973","FLOOD",1,0,0,71,0,0,12
"1973","FOREST FIRE",18,0,0,0,3422617,0,14
"1973","LANDSLIDE",2,0,19,106,0,0,20
"1973","ROCKSLIDE",1,0,21,111,0,0,27
"1974","AVIATION ACCIDENT",1,66,0,0,0,6600,4
"1974","EARTHQUAKE",1,2,170,0,0,200,8
"1974","FIRE",1,0,8,0,0,0,11
"1974","FLOOD",2,0,14,92,0,0,12
"1974","FOREST FIRE",22,0,0,0,4037253,0,14
"1974","LANDSLIDE",3,0,20,104,0,0,20
"1974","ROCKSLIDE",3,0,56,323,0,0,27
"1975","AVALANCHE",1,4,31,0,0,400,3
"1975","AVIATION ACCIDENT",1,42,0,0,0,4200,4
"1975","EARTHQUAKE",2,2392,20967,0,0,119600,8
"1975","FIRE",1,0,61,0,0,0,11
"1975","FLOOD",5,0,71,440,0,0,12
"1975","FOREST FIRE",29,0,0,0,79816374,0,14
"1975","LANDSLIDE",2,0,56,243,0,0,20
"1975","MINING ACCIDENTS",1,13,0,0,0,1300,22
"1975","ROCKSLIDE",2,0,67,421,0,0,27
"1976","AVALANCHE",1,0,3,192,0,0,3
"1976","AVIATION ACCIDENT",1,154,0,0,0,15400,4
"1976","EARTHQUAKE",5,3855,36689,0,112,77100,8
"1976","FOREST FIRE",13,0,0,0,11385,0,14
"1976","LANDSLIDE",2,0,27,177,0,0,20
"1977","AVALANCHE",1,0,25,250,0,0,3
"1977","EARTHQUAKE",4,16,5102,0,0,400,8
"1977","FIRE",4,0,168,0,0,0,11
"1977","FOREST FIRE",118,1,0,0,13855994,1,14
"1977","HEAVY RAIN",1,0,7,0,0,0,18
"1977","LANDSLIDE",5,0,62,796,0,0,20
"1977","ROCKSLIDE",2,0,55,470,0,0,27
"1978","AVALANCHE",1,0,46,60,0,0,3
"1978","FOREST FIRE",85,0,0,0,2748284,0,14
"1978","LANDSLIDE",6,0,138,698,0,0,20
"1978","MINING ACCIDENTS",1,17,0,0,0,1700,22
"1978","ROCKSLIDE",1,0,12,81,0,0,27
"1978","TRAIN ACCIDENT",1,13,0,0,0,1300,35
"1979","AVALANCHE",2,0,41,478,0,0,3
"1979","AVIATION ACCIDENT",1,41,0,0,0,4100,4
"1979","EARTHQUAKE",1,0,22,0,0,0,8
"1979","FIRE",1,0,8,0,0,0,11
"1979","FLOOD",1,0,0,0,0,0,12
"1979","FOREST FIRE",99,0,0,0,3701071,0,14
"1979","GEOMEDICAL",2,0,415,0,0,0,16
"1979","LANDSLIDE",17,0,313,1990,0,0,20
"1979","MARITIME DISASTER",1,51,0,0,0,5100,21
"1979","ROCKSLIDE",6,0,72,605,0,0,27
"1979","TRAIN ACCIDENT",2,47,0,0,0,2350,35
"1980","AVALANCHE",1,0,35,286,0,0,3
"1980","FIRE",1,0,16,0,0,0,11
"1980","FLOOD",1,0,40,400,0,0,12
"1980","FOREST FIRE",62,0,0,0,2408162,0,14
"1980","LANDSLIDE",20,0,366,2164,0,0,20
"1980","MINING ACCIDENTS",1,35,0,0,0,3500,22
"1980","NUCLEAR ACCIDENTS",1,0,0,0,0,0,24
"1980","OTHER",1,87,0,88,0,8700,25
"1980","ROCKSLIDE",5,0,163,969,0,0,27
"1980","TRAIN ACCIDENT",1,17,0,0,0,1700,35
"1981","EARTHQUAKE",1,0,2,0,0,0,8
"1981","FIRE",1,0,9,0,0,0,11
"1981","FLOOD",4,0,69,749,0,0,12
"1981","FOREST FIRE",36,0,0,0,621814,0,14
"1981","LANDSLIDE",13,0,215,1534,0,0,20
"1981","ROCKSLIDE",1,0,10,50,0,0,27
"1982","AVALANCHE",4,0,27,349,0,0,3
"1982","EARTHQUAKE",1,2,424,0,0,200,8
"1982","FLOOD",1,0,7,48,0,0,12
"1982","FOREST FIRE",42,0,0,0,5169679,0,14
"1982","LANDSLIDE",8,0,138,857,0,0,20
"1982","ROCKSLIDE",6,0,135,859,0,0,27
"1983","AVIATION ACCIDENT",1,47,0,0,0,4700,4
"1983","EARTHQUAKE",2,1158,10973,0,0,57900,8
"1983","FIRE",1,0,9,0,0,0,11
"1983","FLOOD",10,0,162,1124,0,0,12
"1983","FOREST FIRE",18,0,0,0,1088283,0,14
"1983","LANDSLIDE",11,0,295,1212,0,0,20
"1983","MINING ACCIDENTS",3,125,0,0,0,4167,22
"1983","OTHER",1,84,0,0,0,8400,25
"1983","ROCKSLIDE",4,0,137,943,0,0,27
"1983","STORM",1,0,6,0,0,0,30
"1984","AVALANCHE",4,0,104,937,0,0,3
"1984","EARTHQUAKE",1,3,1417,0,0,300,8
"1984","FIRE",3,0,37,0,0,0,11
"1984","FLOOD",7,0,132,910,0,0,12
"1984","FOREST FIRE",41,0,0,0,23420627,0,14
"1984","LANDSLIDE",14,0,374,2216,0,0,20
"1984","NUCLEAR ACCIDENTS",1,0,0,0,0,0,24
"1984","ROCKSLIDE",14,0,384,2762,0,0,27
"1985","AVALANCHE",3,0,4,261,0,0,3
"1985","FIRE",1,0,20,0,0,0,11
"1985","FLOOD",5,0,78,560,0,0,12
"1985","FOREST FIRE",76,14,0,0,29288477,18,14
"1985","LANDSLIDE",32,0,861,5937,0,0,20
"1985","ROCKSLIDE",11,0,326,1587,0,0,27
"1986","EARTHQUAKE",3,9,10013,0,0,300,8
"1986","FIRE",1,0,11,0,0,0,11
"1986","FLOOD",7,0,123,1122,0,0,12
"1986","FOREST FIRE",39,0,0,0,17265761,0,14
"1986","LANDSLIDE",19,0,463,2368,0,0,20
"1986","NUCLEAR ACCIDENTS",1,0,0,0,0,0,24
"1986","ROCKSLIDE",9,0,116,675,0,0,27
"1987","AVALANCHE",9,18,1,1213,0,200,3
"1987","FIRE",1,0,76,0,0,0,11
"1987","FLOOD",14,0,435,3192,0,0,12
"1987","FOREST FIRE",64,0,0,0,325294548,0,14
"1987","LANDSLIDE",72,3,1730,9896,0,4,20
"1987","NUCLEAR ACCIDENTS",1,0,0,0,0,0,24
"1987","ROCKSLIDE",11,0,224,1635,0,0,27
"1987","TRAIN ACCIDENT",1,10,0,0,0,1000,35
"1988","AVALANCHE",17,4,199,2800,0,24,3
