Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1966,FIRE,24,2,123,10,1200,1,0,1282900
1966,FLOOD,2,20,0,1,0,0,0,0
1966,PLAGUE,1,0,0,0,0,0,0,0
1966,SURGE,1,0,8,0,0,0,0,0
1967,ACCIDENT,1,0,0,0,0,0,0,0
1967,DROUGHT,1,0,0,0,0,0,0,0
1967,EPIDEMIC,4,3,0,0,0,0,0,0
1967,EXPLOSION,3,2,2,1,0,0,0,0
1967,FIRE,8,0,2,1,0,72,0,487000
1967,FLOOD,1,0,0,0,0,0,0,0
1967,FORESTFIRE,2,0,0,0,0,0,0,0
1967,HAILSTORM,1,0,20,0,0,0,0,0
1967,Intoxicación,2,26,0,0,0,0,0,0
1967,PLAGUE,2,0,0,0,0,0,0,0
1967,STRONGWIND,1,0,20,0,150,0,0,10000
1967,STRUCTURE,1,0,2,0,0,0,0,0
1968,ACCIDENT,3,4,0,0,0,3,0,0
1968,DROUGHT,17,0,0,0,0,83500,0,0
1968,ELECTRICSTORM,1,2,1,0,0,0,0,0
1968,EPIDEMIC,5,9,0,0,0,0,0,0
1968,EXPLOSION,6,2,0,0,0,0,0,0
1968,FIRE,20,3,59,0,217,110,0,112100
1968,FLOOD,10,24,100,0,540,2,0,4000
1968,FORESTFIRE,10,0,0,0,0,0,0,0
1968,Intoxicación,5,6,0,0,0,0,0,0
1968,OTHER,1,0,0,0,0,0,0,0
1968,PLAGUE,16,0,0,0,0,0,0,3500000
1968,POLLUTION,1,0,0,0,0,0,0,0
1968,RAIN,1,0,0,0,0,0,0,1000
1968,STRONGWIND,5,2,52,2,60,0,0,1010000
1968,SURGE,1,0,0,0,0,0,0,0
1969,ACCIDENT,1,0,0,0,0,0,0,0
1969,DROUGHT,1,0,0,0,0,0,0,0
1969,FIRE,1,0,1,0,0,0,0,0
1969,PLAGUE,1,0,0,0,0,0,0,0
1970,ACCIDENT,1,1,0,0,0,0,0,0
1970,EPIDEMIC,5,111,0,0,0,0,0,0
1970,FIRE,25,2,29,2,0,0,0,277750
1970,FLOOD,25,0,13,1000,5000,0,0,200000
1970,Intoxicación,1,0,0,0,0,0,0,0
1970,LANDSLIDE,2,0,0,0,0,0,0,0
1970,POLLUTION,1,0,0,0,0,0,0,0
1970,RAIN,1,0,0,0,0,0,0,0
1970,STRONGWIND,8,0,12,0,0,0,0,0
1971,EPIDEMIC,1,0,0,0,0,0,0,0
1971,FIRE,11,3,14,2,0,0,0,323000
1971,FLOOD,4,2,0,0,0,0,0,0
1971,PLAGUE,1,0,0,0,0,0,0,10000
1971,RAIN,1,0,0,0,0,0,0,0
1972,AVALANCHE,1,2,0,0,0,0,0,0
1972,DROUGHT,2,0,0,0,0,0,0,1000000
1972,EPIDEMIC,2,0,0,0,0,0,0,0
1972,FIRE,20,2,148,4,0,0,0,1021085
1972,FLOOD,11,13,0,0,0,0,0,2100000
1972,PLAGUE,3,0,0,0,0,0,0,0
1972,SPATE,1,0,0,0,0,0,0,500000
1973,ACCIDENT,1,5,0,0,0,0,0,0
1973,FIRE,9,1,15,0,0,0,0,154300
1973,FLOOD,1,0,0,0,0,0,0,0
1973,HAILSTORM,1,0,0,0,0,0,0,0
1973,STRONGWIND,1,0,3,0,0,0,0,0
1974,ACCIDENT,2,1,0,0,0,0,0,0
1974,DROUGHT,1,0,0,0,0,0,0,0
1974,EXPLOSION,4,0,0,1,0,0,0,0
1974,FIRE,6,1,1,0,0,0,0,93000
1974,FLOOD,3,0,13,0,100,0,0,200000
1974,RAIN,1,1,0,0,0,0,0,0
1974,STRONGWIND,1,0,0,0,0,0,0,0
1975,DROUGHT,13,0,0,0,0,0,0,72000000
1975,EPIDEMIC,19,29,0,0,0,0,0,0
1975,EXPLOSION,1,1,0,0,0,0,0,0
1975,FIRE,26,6,45,15,0,0,0,4994800
1975,FLOOD,55,10,285,50,0,0,0,11060000
1975,FORESTFIRE,4,0,0,0,0,0,0,0
1975,HAILSTORM,1,0,0,0,0,0,0,0
1975,Intoxicación,3,2,0,0,0,0,0,0
1975,OTHER,1,0,0,0,0,0,0,0
1975,PLAGUE,7,0,0,0,0,0,0,0
1975,RAIN,1,0,0,0,0,0,0,0
1975,STORM,2,1,1,0,0,0,0,0
1975,STRONGWIND,2,0,0,0,0,0,0,0
1975,SURGE,1,0,3,0,0,0,0,4000
1976,DROUGHT,2,0,0,0,0,0,0,0
1976,EPIDEMIC,2,0,0,0,0,0,0,0
1976,EXPLOSION,1,1,0,0,0,0,0,0
1976,FIRE,5,0,22,0,17,0,0,43850
1976,Intoxicación,2,0,0,0,0,0,0,0
1976,PLAGUE,3,0,0,0,0,3000,0,100000
1976,POLLUTION,1,0,0,0,0,0,0,0
1976,RAIN,1,0,0,0,0,0,0,0
1976,STORM,2,6,0,0,0,0,0,0
1977,DROUGHT,1,0,0,0,0,0,0,0
1977,EPIDEMIC,14,9,0,0,0,0,0,0
1977,FIRE,16,6,30,0,0,0,0,982500
1977,FLOOD,8,2,44,70,0,0,0,50000
1977,HAILSTORM,1,0,0,0,0,0,0,0
1977,LANDSLIDE,1,0,1,0,0,6,0,0
1977,PLAGUE,1,0,0,0,0,0,0,0
1977,RAIN,1,0,0,0,0,0,0,0
1977,STRONGWIND,3,0,1,5,0,0,0,0
1977,STRUCTURE,3,6,0,0,0,0,0,0
1978,EPIDEMIC,10,0,0,0,0,0,0,0
1978,EXPLOSION,3,5,3,0,0,15,0,0
1978,FIRE,22,6,24,8,0,3,0,1045000
1978,FLOOD,4,0,0,0,0,0,0,2000000
1978,LEAK,1,0,0,0,0,0,0,0
1978,RAIN,2,3,0,0,0,0,0,0
1978,STRONGWIND,1,0,0,0,0,0,0,20000
1979,DROUGHT,2,0,0,0,0,0,0,0
1979,EARTHQUAKE,2,0,0,0,0,0,0,0
1979,EPIDEMIC,1,0,0,0,0,0,0,0
1979,FIRE,8,4,17,0,0,0,0,526500
1979,FLOOD,15,2,0,26,0,0,0,0
1979,FORESTFIRE,1,0,0,0,0,0,0,0
1979,OTHER,2,1,0,0,0,0,0,0
