"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"1974","PLAGUE",30,0,0,0,0,0,27
"1974","POLLUTION",7,0,0,164,0,0,28
"1974","RATIONING",4,0,0,0,0,0,30
"1974","RAIN",65,15,10030,118120,9120000,23,29
"1974","SNOWSTORM",2,0,0,0,0,0,33
"1974","STORM",21,3,856,2850,18060000,14,35
"1974","STRONGWIND",2,0,0,0,0,0,36
"1974","STRUCTURE",17,10,38,84,9000,59,37
"1974","SURGE",1,4,0,0,18750,400,38
"1975","ACCIDENT",6,5,0,0,0,83,1
"1975","BIOLOGICAL",3,0,0,0,0,0,4
"1975","DROUGHT",114,0,0,250000,0,0,7
"1975","EARTHQUAKE",11,8,100,30,0,73,8
"1975","ELECTRICSTORM",3,3,0,0,0,100,9
"1975","EPIDEMIC",17,0,0,0,0,0,10
"1975","EXPLOSION",33,19,19,0,24120,58,12
"1975","FIRE",72,30,241,935,2086770,42,14
"1975","FLOOD",76,8,16843,50741,24000,11,15
"1975","FORESTFIRE",36,0,0,0,0,0,17
"1975","FROST",29,7,0,70039,97800000,24,18
"1975","HAILSTORM",8,0,0,0,6000,0,19
"1975","HEATWAVE",2,1,0,0,0,50,20
"1975","INTOXICATION",5,6,0,0,0,120,21
"1975","LANDSLIDE",10,5,8,0,0,50,22
"1975","LEAK",2,0,0,0,0,0,23
"1975","COLD WAVE",19,15,0,0,0,79,6
"1975","PLAGUE",2,0,0,0,0,0,27
"1975","POLLUTION",7,15,0,90000,0,214,28
"1975","RAIN",7,26,10000,250000,6000000,371,29
"1975","SNOWSTORM",9,0,0,0,0,0,33
"1975","SPATE",3,27,920,3400,60000,900,34
"1975","STORM",11,1,300,0,3000,9,35
"1975","STRONGWIND",4,0,0,0,780000,0,36
"1975","STRUCTURE",10,11,17,33,30000,110,37
"1975","TORNADO",1,0,200,1000,0,0,39
"1976","BIOLOGICAL",2,0,0,0,0,0,4
"1976","DROUGHT",26,0,0,0,0,0,7
"1976","EARTHQUAKE",16,2,86,0,0,12,8
"1976","ELECTRICSTORM",2,2,0,0,0,100,9
"1976","EPIDEMIC",34,18,0,0,0,53,10
"1976","EXPLOSION",13,15,83,0,154800,115,12
"1976","FIRE",39,14,273,0,41512800,36,14
"1976","FLOOD",88,111,19981,329157,12000000,126,15
"1976","FORESTFIRE",13,1,0,0,150000,8,17
"1976","FROST",62,2,0,0,0,3,18
"1976","HAILSTORM",18,0,349,1470,180000,0,19
"1976","HEATWAVE",1,8,0,0,0,800,20
"1976","INTOXICATION",2,2,0,0,0,100,21
"1976","LANDSLIDE",5,16,0,0,0,320,22
"1976","LEAK",1,2,0,0,0,200,23
"1976","COLD WAVE",18,0,0,0,0,0,6
"1976","PLAGUE",2,0,0,0,0,0,27
"1976","POLLUTION",13,0,0,0,0,0,28
"1976","RAIN",4,400,4000,15000,0,10000,29
"1976","SNOWSTORM",8,4,0,0,0,50,33
"1976","SPATE",5,5,450,1800,0,100,34
"1976","STORM",28,9,918,3660,31500000,32,35
"1976","STRUCTURE",1,0,20,80,0,0,37
"1977","ACCIDENT",12,38,0,0,60000,317,1
"1977","BIOLOGICAL",5,0,0,0,120000,0,4
"1977","DROUGHT",27,0,0,0,0,0,7
"1977","EPIDEMIC",44,16,0,0,0,36,10
"1977","EXPLOSION",23,8,19,134,12429300,35,12
"1977","FIRE",66,24,113,2,23362320,36,14
"1977","FLOOD",40,31,15320,9945,0,78,15
"1977","FORESTFIRE",6,0,100,0,0,0,17
"1977","FROST",2,0,0,0,0,0,18
"1977","HAILSTORM",3,0,0,80,16320,0,19
"1977","HEATWAVE",5,43,0,0,0,860,20
"1977","SINKING",1,0,10,0,0,0,32
"1977","INTOXICATION",3,3,0,0,0,100,21
"1977","LANDSLIDE",12,28,10,0,0,233,22
