Year,Event, DataCards, Deaths, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Losses $USD, Losses $Local
1969,Fire,1,0,0,45,0,0,0,0
1969,Flood,2,0,0,49,0,394,0,0
1969,Forest fire,25,0,0,0,0,0,0,13487377
1969,Landslide,19,0,16,434,0,2766,0,0
1969,Rockslide,3,0,0,92,0,675,0,0
1970,Avalanche,1,0,0,24,0,217,0,0
1970,Earthquake,4,1087,0,27370,0,0,0,0
1970,Flood,1,0,0,80,0,750,0,0
1970,Forest fire,18,0,0,0,0,0,0,1031727
1970,Landslide,12,0,8,213,0,1319,0,0
1970,Rockslide,5,0,0,72,0,635,0,0
1971,Earthquake,2,935,0,19016,0,0,0,601251971
1971,Flood,1,0,0,8,0,53,0,0
1971,Forest fire,11,0,0,0,0,0,0,922240
1971,Landslide,4,0,0,23,0,204,0,0
1971,Rockslide,4,0,0,38,0,240,0,0
1972,Earthquake,3,1,0,900,0,800,0,0
1972,Fire,2,0,0,60,0,0,0,0
1972,Flood,3,0,0,75,0,87,0,0
1972,Forest fire,5,0,0,0,0,0,0,1.16601E+12
1972,Landslide,9,0,0,67,0,450,0,0
1972,Mining accidents,2,39,0,0,0,0,0,0
1972,Rockslide,5,0,0,132,0,682,0,0
1972,Train accident,1,16,0,0,0,0,0,0
1973,Fire,1,0,0,15,0,0,0,0
1973,Flood,1,0,0,0,0,71,0,0
1973,Forest fire,18,0,0,0,0,0,0,97789066
1973,Landslide,2,0,0,19,0,106,0,0
1973,Rockslide,1,0,0,21,0,111,0,0
1974,Aviation accident,1,66,0,0,0,0,0,0
1974,Earthquake,1,2,0,170,0,0,0,0
1974,Fire,1,0,0,8,0,0,0,0
1974,Flood,2,0,0,14,0,92,0,0
1974,Forest fire,22,0,0,0,0,0,0,115350092
1974,Landslide,3,0,0,20,0,104,0,0
1974,Rockslide,3,0,0,56,0,323,0,0
1975,Avalanche,1,4,0,31,0,0,0,0
1975,Aviation accident,1,42,0,0,0,0,0,0
1975,Earthquake,2,2392,0,20967,0,0,0,0
1975,Fire,1,0,0,61,0,0,0,0
1975,Flood,5,0,0,71,0,440,0,0
1975,Forest fire,29,0,0,0,0,0,0,2280467847
1975,Landslide,2,0,0,56,0,243,0,0
1975,Mining accidents,1,13,0,0,0,0,0,0
1975,Rockslide,2,0,0,67,0,421,0,0
1976,Avalanche,1,0,3,0,0,192,0,0
1976,Aviation accident,1,154,0,0,0,0,0,0
1976,Earthquake,5,3855,0,36689,0,0,0,3205
1976,Forest fire,13,0,0,0,0,0,0,325297
1976,Landslide,2,0,0,27,0,177,0,0
1977,Avalanche,1,0,0,25,0,250,0,0
1977,Earthquake,4,16,0,5102,0,0,0,0
1977,Fire,4,0,0,168,0,0,0,0
1977,Forest fire,118,1,0,0,0,0,0,395885552
1977,Heavy rain,1,0,7,0,0,0,0,0
1977,Landslide,5,0,0,62,0,796,0,0
1977,Rockslide,2,0,0,55,0,470,0,0
1978,Avalanche,1,0,9,37,0,60,0,0
1978,Forest fire,85,0,0,0,0,0,0,78522404
1978,Landslide,6,0,9,129,0,698,0,0
1978,Mining accidents,1,17,0,0,0,0,0,0
1978,Rockslide,1,0,0,12,0,81,0,0
1978,Train accident,1,13,0,0,0,0,0,0
1979,Avalanche,2,0,0,41,0,478,0,0
1979,Aviation accident,1,41,0,0,0,0,0,0
1979,Earthquake,1,0,0,22,0,0,0,0
1979,Fire,1,0,0,8,0,0,0,0
1979,Flood,1,0,0,0,0,0,0,0
1979,Forest fire,99,0,0,0,0,0,0,105744888
1979,Geomedical,2,0,0,415,0,0,0,0
1979,Landslide,17,0,14,299,0,1990,0,0
1979,Maritime disaster,1,51,0,0,0,0,0,0
1979,Rockslide,6,0,0,72,0,605,0,0
1979,Train accident,2,47,0,0,0,0,0,0
1980,Avalanche,1,0,0,35,0,286,0,0
1980,Fire,1,0,0,16,0,0,0,0
1980,Flood,1,0,0,40,0,400,0,0
1980,Forest fire,62,0,0,0,0,0,0,68804649
1980,Landslide,20,0,10,356,0,2164,0,0
1980,Mining accidents,1,35,0,0,0,0,0,0
1980,Nuclear accidents,1,0,0,0,0,0,0,0
1980,Other,1,87,0,0,0,88,0,0
1980,Rockslide,5,0,0,163,0,969,0,0
1980,Train accident,1,17,0,0,0,0,0,0
1981,Earthquake,1,0,0,2,0,0,0,0
1981,Fire,1,0,0,9,0,0,0,0
1981,Flood,4,0,0,69,0,749,0,0
1981,Forest fire,36,0,0,0,0,0,0,17766117
1981,Landslide,13,0,0,215,0,1534,0,0
1981,Rockslide,1,0,0,10,0,50,0,0
1982,Avalanche,4,0,0,27,0,349,0,0
1982,Earthquake,1,2,0,424,0,0,0,0
1982,Flood,1,0,0,7,0,48,0,0
1982,Forest fire,42,0,0,0,0,0,0,147705138
1982,Landslide,8,0,0,138,0,857,0,0
1982,Rockslide,6,0,0,135,0,859,0,0
1983,Aviation accident,1,47,0,0,0,0,0,0
1983,Earthquake,2,1158,0,10973,0,0,0,0
1983,Fire,1,0,0,9,0,0,0,0
1983,Flood,10,0,0,162,0,1124,0,0
1983,Forest fire,18,0,0,0,0,0,0,31093805
1983,Landslide,11,0,0,295,0,1212,0,0
1983,Mining accidents,3,125,0,0,0,0,0,0
1983,Other,1,84,0,0,0,0,0,0
1983,Rockslide,4,0,0,137,0,943,0,0
1983,Storm,1,0,0,6,0,0,0,0
1984,Avalanche,4,0,0,104,0,937,0,0
1984,Earthquake,1,3,0,1417,0,0,0,0
1984,Fire,3,0,0,37,0,0,0,0
1984,Flood,7,0,0,132,0,910,0,0
1984,Forest fire,41,0,0,0,0,0,0,669160779
