"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"2011","LOCUST",7,0,0,0,0,0,13
"2011","ROAD ACCIDENT",687,84,0,2,0,12,15
"2011","SINKING",3,7,0,5,0,233,16
"2011","STRUCTURAL COLLAPSE",26,14,12,0,0,54,19
"2012","BIRD INFESTATION",2,0,0,0,0,0,1
"2012","DROWNING",18,73,0,0,0,406,4
"2012","EPIDEMIC",4,3,0,110,0,75,6
"2012","FIRE",29,1,60,1800,1170142,3,8
"2012","FLOOD",16,21,503,200,0,131,9
"2012","LAND DEGRADATION",4,0,0,0,0,0,11
"2012","LIGHTNING",4,3,0,0,0,75,12
"2012","LOCUST",2,0,0,0,0,0,13
"2012","ROAD ACCIDENT",96,165,4,0,0,172,15
"2012","SINKING",1,2,0,0,0,200,16
"2012","STRONG WIND",6,3,0,1,15450,50,18
"2012","STRUCTURAL COLLAPSE",28,20,30,0,0,71,19
"2012","SWELL",1,0,0,0,0,0,20
"2012","WILD FIRE",271,0,0,0,0,0,21
"2013","BIRD INFESTATION",1,0,0,0,0,0,1
"2013","DROWNING",41,203,0,11,0,495,4
"2013","DRY SPELL",7,0,0,0,0,0,5
"2013","EXTREME TEMPERATURE",1,8,0,0,0,800,7
"2013","FIRE",60,18,128,705,2691250,30,8
"2013","FLOOD",54,31,9752,45534,80000,57,9
"2013","LIGHTNING",11,14,0,0,0,127,12
"2013","ROAD ACCIDENT",110,252,0,0,0,229,15
"2013","SINKING",13,59,0,0,11680,454,16
"2013","STORM",12,2,0,0,0,17,17
"2013","STRONG WIND",11,6,0,0,0,55,18
"2013","STRUCTURAL COLLAPSE",24,16,26,0,0,67,19
"2013","SWELL",20,1,0,0,49042,5,20
"2013","WILD FIRE",380,0,0,0,0,0,21
"2014","COASTAL EROSION",2,0,40,984,400000,0,2
"2014","DROUGHT",1,0,0,0,0,0,3
"2014","DROWNING",293,270,0,0,0,92,4
"2014","DRY SPELL",6,0,0,1104,0,0,5
