"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"2006","EPIDEMIC",28,2,0,316,0,7,9
"2006","FLOOD",1,0,7,84,0,0,12
"2006","RAINS",1,0,9,730,14131,0,27
"2006","STRONG WINDS",1,0,5,25,0,0,31
"2006","WILD ANIMALS",2,1,0,300,18246,50,38
"2007","DROUGHT",1,0,0,0,0,0,7
"2007","FIRE",1,0,20,184,8895,0,11
"2007","FLOOD",4,7,141,967,0,175,12
"2007","HAILSTORM",1,0,829,4438,0,0,15
"2007","HEAVY RAINFALL & STRONG WINDS",3,0,236,2195,202854,0,16
"2007","MARINE ACCIDENT",7,32,0,46,0,457,22
"2007","STRONG WINDS",2,0,16,126,3106,0,31
"2008","DROUGHT",2,0,0,0,0,0,7
"2008","FIRE",20,0,12,426,0,0,11
"2008","FLOOD",3,74,18,2545,0,2467,12
"2008","MARINE ACCIDENT",7,7,0,31,0,100,22
"2008","STRONG WINDS",2,0,8,76,8421,0,31
"2008","VOLCANO",1,0,0,0,0,0,37
"2009","DROUGHT",1,0,0,0,0,0,7
"2009","EXPLOSION",2,26,9519,34998,574494,1300,10
"2009","FIRE",2,12,0,0,0,600,11
"2009","FLOOD",5,2,12254,89899,6132,40,12
"2009","HEAVY RAINFALL & STRONG WINDS",1,0,54,197,10699,0,16
"2009","LANDSLIDE",1,24,0,0,0,2400,20
"2009","LIGHTNING",1,3,0,0,0,300,21
"2009","MARINE ACCIDENT",9,23,0,50,0,256,22
"2009","MINE ACCIDENT",1,7,0,3,0,700,23
"2010","CYCLONE",1,0,50,235,67463,0,6
"2010","DROUGHT",1,0,0,0,0,0,7
"2010","FIRE",2,0,0,0,0,0,11
"2010","FLOOD",3,0,6203,2695,9552,0,12
"2010","LIGHTNING",1,2,0,4,0,200,21
"2010","MARINE ACCIDENT",9,195,0,11,0,2167,22
"2010","RAINS",3,653,120,7080,188195,21767,27
"2010","STRONG WINDS",3,0,14,90,30880,0,31
"2010","THUNDERSTORM",1,1,0,1,0,100,34
"2011","DROUGHT",1,0,0,0,0,0,7
"2011","EXPLOSION",1,30,1693,0,0,3000,10
"2011","FIRE",5,0,34,7,51900,0,11
"2011","FLOOD",10,122,1884,21601,1717334,1220,12
"2011","HEAVY RAINFALL & STRONG WINDS",3,0,133,519,2297,0,16
"2011","LIGHTNING",3,6,0,0,8594,200,21
"2011","MARINE ACCIDENT",13,172,0,865,0,1323,22
"2011","PEST INFESTATION",1,0,0,1836,0,0,25
"2011","RAINS",8,0,592,21966,5170988,0,27
"2011","STRONG WINDS",7,0,404,1681,71017,0,31
"2012","ACCIDENT",1,0,0,0,0,0,1
"2012","DROUGHT",1,0,0,0,0,0,7
"2012","FIRE",2,0,1,104,0,0,11
"2012","FLOOD",3,3,414,11804,3027728,100,12
"2012","MARINE ACCIDENT",6,218,0,113,0,3633,22
"2012","OTHER",11,0,0,12,16256,0,24
"2012","RAINS",4,0,20,1676,1085172,0,27
"2012","STRONG WINDS",2,0,41,278,22708,0,31
"2012","WINDSTORM",1,0,1,0,0,0,39
"2013","DROUGHT",1,0,0,0,0,0,7
"2013","FIRE",4,0,34,9,108001,0,11
"2013","FLOOD",12,0,4128,6416,1855860,0,12
"2013","HAILSTORM",1,0,0,10,0,0,15
"2013","HEAVY RAINFALL & STRONG WINDS",1,0,142,1440,0,0,16
"2013","LANDSLIDE",2,2,2,4,0,100,20
"2013","MARINE ACCIDENT",1,10,0,0,0,1000,22
"2013","RAINS",2,1,40,266,7994,50,27
"2013","STRONG WINDS",3,0,7,415,35079,0,31
"2013","STRUCTURAL COLLAPSE",1,39,0,0,0,3900,32
"2014","DROUGHT",1,0,0,0,0,0,7
"2014","EARTHQUAKE",1,0,0,0,14154,0,8
"2014","EXPLOSION",1,7,0,0,0,700,10
"2014","FIRE",1,0,78,156,136551,0,11
"2014","FLOOD",19,23,3555,90359,1872971,121,12
"2014","HAILSTORM",5,0,32,192,11931,0,15
"2014","HEAVY RAINFALL & STRONG WINDS",1,0,124,8936,0,0,16
"2014","MARINE ACCIDENT",2,8,0,19,0,400,22
"2014","PLANT DISEASE",1,0,0,332,4327880,0,26
"2014","RAINS",10,0,178,1714,976031,0,27
"2014","STRONG WINDS",3,0,31,90,52438,0,31
"2014","WILD ANIMALS",2,0,3500,114800,0,0,38
"2015","DROUGHT",1,0,0,0,0,0,7
"2015","EARTHQUAKE",1,0,0,0,0,0,8
"2015","EPIDEMIC",1,2,0,174,0,200,9
"2015","FIRE",5,0,2,640,11920,0,11
"2015","FLOOD",24,33,2756,225027,12061600,138,12
"2015","FUNGAL TOXINS",1,11,0,114,16104,1100,14
"2015","HAILSTORM",1,0,0,0,0,0,15
"2015","HEAVY RAINFALL & STRONG WINDS",2,0,296,1485,0,0,16
"2015","INSECT INFESTATION",1,0,0,6437,0,0,19
"2015","PEST INFESTATION",1,0,2200,19800,0,0,25
"2015","RAINS",13,0,673,5579,7114647,0,27
"2015","STORM",1,47,634,3500,0,4700,30
"2015","STRONG WINDS",10,1,674,3674,96660,10,31
